id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
120544,WOOD,,J,26,,22/10/1918,,Private,Argyll and Sutherland Highlanders,,1st/6th Bn.,France,'252796',"MONT HUON MILITARY CEMETERY, LE TREPORT",VIII. M. 9B.,"Son of William and Margaret Wood, of 259, Gookston St., Glasgow. Native of Edinbvrgh."
120545,WOOD,PATRICK DOUGLAS,P D,20,,10/11/1917,,Private,"Auckland Regiment, N.Z.E.F.",,2nd Bn.,France,'26955',"MONT HUON MILITARY CEMETERY, LE TREPORT",VI. B. 11B.,"Son of Francis W. and Harriett T. Wood, of Auckland."
120546,WOOD,WILLIAM PHILIP THOMAS,W P T,23,,31/10/1918,,Lance Bombardier,Royal Garrison Artillery,,244th Siege Bty.,France,'44548',"MONT HUON MILITARY CEMETERY, LE TREPORT",VIII. N. 3A.,"Son of W. F. R. and Susanah Wood, of 37, Huxley Rd., Silver St., Edmonton, London. Enlisted Aug., 1914."
120547,WOOD,,W,32,,17/11/1917,,Corporal,Scots Guards,,1st Bn.,France,'14225',"MONT HUON MILITARY CEMETERY, LE TREPORT",VI. B. 10B.,"Son of John Wood, of Bolton; husband of Leona G. E Wood, of 12, Bargates, Whitchurch, Salop."
121157,WOOD,ARTHUR,A,26,,06/08/1917,,Private,York and Lancaster Regiment,,"""C"" Coy. 14th Bn.",France,'9390',MAROEUIL BRITISH CEMETERY,IV. F. 1.,"Husband of Maudie Wood, Denaby Main, Rotherham, Yorks."
121516,WOOD,ARTHUR,A,21,,05/10/1914,,Gunner,Royal Field Artillery,,117th Bty.,France,'68113',BOIS-GUILLAUME COMMUNAL CEMETERY,I. A. 15A.,"Son of William and Annie Wood, of 38, Hearns Road, St. Paul's Cray, Kent."
121517,WOOD,EDWARD,E,33,,25/07/1916,,Private,Duke of Wellington's (West Riding Regiment),,10th Bn.,France,'15675',BOIS-GUILLAUME COMMUNAL CEMETERY,II. A. 11.,Son of Robert and Mary Jane Wood.
121994,WOOD,,H G,,,11/01/1918,,Sapper,Royal Engineers,,Base Signal Depot (East Africa),Tanzania,'148812',DODOMA CEMETERY,I. C. 11.," Son of Mr. W. J. Wood, of 24, All Saints Avenue, Maidenhead, Berks."
122743,WOOD,,H W J,32,,02/07/1916,,Private,South African Infantry,,11th Regt.,Tanzania,'5760',MOSHI CEMETERY,I. B. 6.,"Husband of Barbara J. Wood, of 18, Rose Lane, Point Rd., Durban, Natal."
124510,WOOD,HUBERT KENNETH,H K,30,,16/05/1917,,Lieutenant,King's African Rifles,,2nd/2nd,Tanzania,,MOROGORO CEMETERY,VII. A. 12.,"Son of Herbert John and Alice E. Wood, of Walton-on-Thames, Surrey."
125746,WOOD,MARK,M,37,,28/12/1914,,Private,South African Medical Corps,,1st Field Amb.,Namibia,,SWAKOPMUND MUNICIPAL CEMETERY,A/C. on S.W. Panel 4.,"Son of Mark and Annie Wood, of Sandbach Heath, Cheshire, England; husband of Nellie Wood."
127907,WOOD,,H T,,,23/05/1917,,Private,9th Infantry (Prince of Wales' Own Regiment of Cape Peninsula Rifles),,,South Africa,'A/8168',CAPE TOWN (MAITLAND) CEMETERY,Sec. 4. 98226C.,
1283106,WOOD,ALAN GEORGE,A G,22,,26/11/1943,,Flying Officer,Royal Air Force Volunteer Reserve,,47 Sqdn.,Egypt,'136058',ALAMEIN MEMORIAL,Column 269.,"Son of William J. and Winifred Wood, of Glasgow."
1283107,WOOD,,L D,24,,02/12/1941,,Lieutenant,South African Air Force,,2 Sqdn.,Egypt,'47879',ALAMEIN MEMORIAL,Column 246.,"Son of Mr. and Mrs. J. E. Wood, of East London, Cape Province, South Africa."
1283108,WOOD,MAX GODDEN,M G,23,,31/05/1941,,Leading Aircraftman,Royal Air Force,,30 Sqdn.,Egypt,'526264',ALAMEIN MEMORIAL,Column 244.,"Son of Matthew Wood, and of Winnifred Eliza Wood, of Dover."
1283109,WOOD,THOMAS GEORGE,T G,22,,02/07/1942,,Flight Sergeant,Royal Air Force Volunteer Reserve,,162 Sqdn.,Egypt,'1378419',ALAMEIN MEMORIAL,Column 250.,"Son of Thomas and Kathleen Graham Wood, of Buenos Aires, Argentine."
1283110,WOOD,WARREN,W,21,,10/08/1941,,Flight Sergeant,Royal Air Force,,148 Sqdn.,Egypt,'550594',ALAMEIN MEMORIAL,Column 242.,"Adopted son of Jessie J. Redden, of Duns, Berwickshire."
1283111,WOOD,,W L,25,,11/12/1941,,Lieutenant,South African Air Force,,21 Sqdn.,Egypt,'103252',ALAMEIN MEMORIAL,Column 246.,"Son of Harry and Gladys F. Wood, of Pietermaritzburg, Natal, South Africa."
134985,WOOD,WILLIAM CARLTON,W C,,,18/04/1921,,Corporal,"Australian Infantry, A.I.F.",,56th Bn.,Australia,'3700',COBURG PINE RIDGE CEMETERY,Pres. B. 289. (GRM/3*).,
135156,WOOD,JOHN ALEXANDER,J A,,,20/10/1914,,Private,"Australian Infantry, A.I.F.",,6th Bn.,Australia,'1005',"MELBOURNE GENERAL CEMETERY, CARLTON",RC. CC. 390. (GRM/3*).,
135185,WOOD,PERCY,P,,,20/02/1917,,Trooper,Australian Light Horse,,8th,Australia,'471',ONDIT AND CUNDARE PUBLIC CEMETERY,Meth. 4. 125.,
137730,WOOD,HARRY,H,32,,30/11/1917,,Private,Royal Fusiliers,,20th Bn.,Belgium,'G/69061',NINE ELMS BRITISH CEMETERY,IX. C. 20.,"Son of Mr. and Mrs. Thomas Wood, of Northallerton; husband of Elizabeth Wood, of 129, Aldermans Green, Foleshill, Coventry."
